V4_1,Standard Error,Unweighted Count,Time_codelist,Time,Geography_codelist,Geography,Marital status_codelist,Marital status,Measurement Type_codelist,Measurement Type,Crime Type_codelist,Crime Type,Age_codelist,Age,Sex_codelist,Sex
5.06925448,2.945531451,355,Quarter,2017 Q1,K04000001,,,Cohabiting,,Incidence rate,,Acquaintance violence,,16-24,,All adults
-,-,-,Quarter,2017 Q1,K04000001,,,Divorced/Legally dissolved partnership,,Incidence rate,,Acquaintance violence,,16-24,,All adults
4.192755181,2.436856899,420,Quarter,2017 Q1,K04000001,,,Living as a couple,,Incidence rate,,Acquaintance violence,,16-24,,All adults
0,0,65,Quarter,2017 Q1,K04000001,,,Married/civil partnered,,Incidence rate,,Acquaintance violence,,16-24,,All adults
25.14006003,5.392573434,2166,Quarter,2017 Q1,K04000001,,,Not living as a couple,,Incidence rate,,Acquaintance violence,,16-24,,All adults
-,-,-,Quarter,2017 Q1,K04000001,,,Separated,,Incidence rate,,Acquaintance violence,,16-24,,All adults
25.20909837,5.407092052,2154,Quarter,2017 Q1,K04000001,,,Single,,Incidence rate,,Acquaintance violence,,16-24,,All adults
-,-,-,Quarter,2017 Q1,K04000001,,,Widowed,,Incidence rate,,Acquaintance violence,,16-24,,All adults
9.01306328,2.289250883,3738,Quarter,2017 Q1,K04000001,,,Cohabiting,,Incidence rate,,Acquaintance violence,,16+,,All adults
8.005973199,2.173248946,3221,Quarter,2017 Q1,K04000001,,,Divorced/Legally dissolved partnership,,Incidence rate,,Acquaintance violence,,16+,,All adults
6.565083088,1.010941227,19594,Quarter,2017 Q1,K04000001,,,Living as a couple,,Incidence rate,,Acquaintance violence,,16+,,All adults
5.955000168,1.107042761,15856,Quarter,2017 Q1,K04000001,,,Married/civil partnered,,Incidence rate,,Acquaintance violence,,16+,,All adults
15.65060804,2.084304502,15708,Quarter,2017 Q1,K04000001,,,Not living as a couple,,Incidence rate,,Acquaintance violence,,16+,,All adults
