V4_1,Standard Error,Unweighted Count,Time_codelist,Time,Geography_codelist,Geography,Number of evening visits to a bar in the last month_codelist,Number of evening visits to a bar in the last month,Measurement Type_codelist,Measurement Type,Crime Type_codelist,Crime Type,Age_codelist,Age,Sex_codelist,Sex
27.66646241,10.3803643,819,Quarter,2017 Q1,K04000001,,,Less than once a week,,Incidence rate,,Acquaintance violence,,16-24,,All adults
25.84467887,7.402692872,1045,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Acquaintance violence,,16-24,,All adults
12.10908553,4.762554557,722,Quarter,2017 Q1,K04000001,,,Once a week or more often,,Incidence rate,,Acquaintance violence,,16-24,,All adults
10.19866666,2.093716428,10366,Quarter,2017 Q1,K04000001,,,Less than once a week,,Incidence rate,,Acquaintance violence,,16+,,All adults
9.840041542,1.305862022,18467,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Acquaintance violence,,16+,,All adults
10.1431569,1.874279745,6566,Quarter,2017 Q1,K04000001,,,Once a week or more often,,Incidence rate,,Acquaintance violence,,16+,,All adults
11.19143025,5.867600982,1882,Quarter,2017 Q1,K04000001,,,Less than once a week,,Incidence rate,,Acquaintance violence,,25-34,,All adults
10.95337098,2.984904082,2251,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Acquaintance violence,,25-34,,All adults
8.76692763,3.276555489,1173,Quarter,2017 Q1,K04000001,,,Once a week or more often,,Incidence rate,,Acquaintance violence,,25-34,,All adults
5.590652346,2.689285748,2057,Quarter,2017 Q1,K04000001,,,Less than once a week,,Incidence rate,,Acquaintance violence,,35-44,,All adults
10.38310174,3.069161987,2740,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Acquaintance violence,,35-44,,All adults
12.58979854,6.536308846,1016,Quarter,2017 Q1,K04000001,,,Once a week or more often,,Incidence rate,,Acquaintance violence,,35-44,,All adults
10.55907527,3.865144504,2099,Quarter,2017 Q1,K04000001,,,Less than once a week,,Incidence rate,,Acquaintance violence,,45-54,,All adults
17.09953451,4.949199081,2808,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Acquaintance violence,,45-54,,All adults
9.602216892,3.491472276,1285,Quarter,2017 Q1,K04000001,,,Once a week or more often,,Incidence rate,,Acquaintance violence,,45-54,,All adults
5.94038054,3.071097084,1624,Quarter,2017 Q1,K04000001,,,Less than once a week,,Incidence rate,,Acquaintance violence,,55-64,,All adults
5.506476716,1.6207763,2864,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Acquaintance violence,,55-64,,All adults
14.97312708,6.635121226,1176,Quarter,2017 Q1,K04000001,,,Once a week or more often,,Incidence rate,,Acquaintance violence,,55-64,,All adults
1.585403563,0.809889275,1341,Quarter,2017 Q1,K04000001,,,Less than once a week,,Incidence rate,,Acquaintance violence,,65-74,,All adults
2.404499751,0.901087911,3374,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Acquaintance violence,,65-74,,All adults
2.790136333,1.755781787,869,Quarter,2017 Q1,K04000001,,,Once a week or more often,,Incidence rate,,Acquaintance violence,,65-74,,All adults
1.178441301,1.17926593,544,Quarter,2017 Q1,K04000001,,,Less than once a week,,Incidence rate,,Acquaintance violence,,75+,,All adults
0.941246192,0.563477669,3385,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Acquaintance violence,,75+,,All adults
0,0,325,Quarter,2017 Q1,K04000001,,,Once a week or more often,,Incidence rate,,Acquaintance violence,,75+,,All adults
19.20607554,11.64311386,453,Quarter,2017 Q1,K04000001,,,Less than once a week,,Incidence rate,,Acquaintance violence,,16-24,,Female
19.47629268,7.05898614,572,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Acquaintance violence,,16-24,,Female
3.259345337,2.765750932,337,Quarter,2017 Q1,K04000001,,,Once a week or more often,,Incidence rate,,Acquaintance violence,,16-24,,Female
8.974249119,2.433047442,5579,Quarter,2017 Q1,K04000001,,,Less than once a week,,Incidence rate,,Acquaintance violence,,16+,,Female
8.49587573,1.622724606,10735,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Acquaintance violence,,16+,,Female
8.522480428,2.506908295,2660,Quarter,2017 Q1,K04000001,,,Once a week or more often,,Incidence rate,,Acquaintance violence,,16+,,Female
8.538372868,6.072200828,1065,Quarter,2017 Q1,K04000001,,,Less than once a week,,Incidence rate,,Acquaintance violence,,25-34,,Female
10.58511739,3.657825833,1466,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Acquaintance violence,,25-34,,Female
9.837345631,6.260468485,513,Quarter,2017 Q1,K04000001,,,Once a week or more often,,Incidence rate,,Acquaintance violence,,25-34,,Female
4.405635903,2.445665387,1125,Quarter,2017 Q1,K04000001,,,Less than once a week,,Incidence rate,,Acquaintance violence,,35-44,,Female
8.611208788,2.785708219,1587,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Acquaintance violence,,35-44,,Female
6.556593282,5.803980279,415,Quarter,2017 Q1,K04000001,,,Once a week or more often,,Incidence rate,,Acquaintance violence,,35-44,,Female
10.89978399,4.844935899,1154,Quarter,2017 Q1,K04000001,,,Less than once a week,,Incidence rate,,Acquaintance violence,,45-54,,Female
18.27365657,7.991860891,1557,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Acquaintance violence,,45-54,,Female
12.33796004,6.993577336,551,Quarter,2017 Q1,K04000001,,,Once a week or more often,,Incidence rate,,Acquaintance violence,,45-54,,Female
10.2358613,6.05549797,830,Quarter,2017 Q1,K04000001,,,Less than once a week,,Incidence rate,,Acquaintance violence,,55-64,,Female
6.34517227,2.399091422,1650,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Acquaintance violence,,55-64,,Female
17.81274948,9.509626073,464,Quarter,2017 Q1,K04000001,,,Once a week or more often,,Incidence rate,,Acquaintance violence,,55-64,,Female
1.018944054,1.018876398,685,Quarter,2017 Q1,K04000001,,,Less than once a week,,Incidence rate,,Acquaintance violence,,65-74,,Female
0.334191599,0.334298241,1908,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Acquaintance violence,,65-74,,Female
0,0,287,Quarter,2017 Q1,K04000001,,,Once a week or more often,,Incidence rate,,Acquaintance violence,,65-74,,Female
2.341984868,2.342023257,267,Quarter,2017 Q1,K04000001,,,Less than once a week,,Incidence rate,,Acquaintance violence,,75+,,Female
0.498880145,0.499131992,1995,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Acquaintance violence,,75+,,Female
0,0,93,Quarter,2017 Q1,K04000001,,,Once a week or more often,,Incidence rate,,Acquaintance violence,,75+,,Female
36.6876729,17.50485906,366,Quarter,2017 Q1,K04000001,,,Less than once a week,,Incidence rate,,Acquaintance violence,,16-24,,Male
32.49556288,13.19495174,473,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Acquaintance violence,,16-24,,Male
18.83209968,8.114659506,385,Quarter,2017 Q1,K04000001,,,Once a week or more often,,Incidence rate,,Acquaintance violence,,16-24,,Male
11.48340417,3.430514176,4787,Quarter,2017 Q1,K04000001,,,Less than once a week,,Incidence rate,,Acquaintance violence,,16+,,Male
11.52084647,2.162914561,7732,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Acquaintance violence,,16+,,Male
11.20139593,2.651248997,3906,Quarter,2017 Q1,K04000001,,,Once a week or more often,,Incidence rate,,Acquaintance violence,,16+,,Male
13.85596873,10.05304507,817,Quarter,2017 Q1,K04000001,,,Less than once a week,,Incidence rate,,Acquaintance violence,,25-34,,Male
11.43298367,4.986440223,785,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Acquaintance violence,,25-34,,Male
8.094747396,3.653229891,660,Quarter,2017 Q1,K04000001,,,Once a week or more often,,Incidence rate,,Acquaintance violence,,25-34,,Male
6.865705804,4.298446488,932,Quarter,2017 Q1,K04000001,,,Less than once a week,,Incidence rate,,Acquaintance violence,,35-44,,Male
12.45512738,5.829122089,1153,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Acquaintance violence,,35-44,,Male
16.32826829,9.958673083,601,Quarter,2017 Q1,K04000001,,,Once a week or more often,,Incidence rate,,Acquaintance violence,,35-44,,Male
10.17790124,6.123815032,945,Quarter,2017 Q1,K04000001,,,Less than once a week,,Incidence rate,,Acquaintance violence,,45-54,,Male
15.7722662,5.433591186,1251,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Acquaintance violence,,45-54,,Male
7.585424926,3.330032037,734,Quarter,2017 Q1,K04000001,,,Once a week or more often,,Incidence rate,,Acquaintance violence,,45-54,,Male
1.701002183,1.204923253,794,Quarter,2017 Q1,K04000001,,,Less than once a week,,Incidence rate,,Acquaintance violence,,55-64,,Male
4.41924811,2.038383575,1214,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Acquaintance violence,,55-64,,Male
13.17683387,9.075387258,712,Quarter,2017 Q1,K04000001,,,Once a week or more often,,Incidence rate,,Acquaintance violence,,55-64,,Male
2.1738127,1.268361545,656,Quarter,2017 Q1,K04000001,,,Less than once a week,,Incidence rate,,Acquaintance violence,,65-74,,Male
5.131042377,2.040865916,1466,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Acquaintance violence,,65-74,,Male
4.238801477,2.665873733,582,Quarter,2017 Q1,K04000001,,,Once a week or more often,,Incidence rate,,Acquaintance violence,,65-74,,Male
0,0,277,Quarter,2017 Q1,K04000001,,,Less than once a week,,Incidence rate,,Acquaintance violence,,75+,,Male
1.602127436,1.189308261,1390,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Acquaintance violence,,75+,,Male
0,0,232,Quarter,2017 Q1,K04000001,,,Once a week or more often,,Incidence rate,,Acquaintance violence,,75+,,Male
15.67799367,6.703420074,819,Quarter,2017 Q1,K04000001,,,Less than once a week,,Incidence rate,,Common assault with injury,,16-24,,All adults
16.84370967,6.520718786,1045,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Common assault with injury,,16-24,,All adults
16.56473297,5.463604404,722,Quarter,2017 Q1,K04000001,,,Once a week or more often,,Incidence rate,,Common assault with injury,,16-24,,All adults
6.152172495,1.317833282,10366,Quarter,2017 Q1,K04000001,,,Less than once a week,,Incidence rate,,Common assault with injury,,16+,,All adults
5.737171384,0.986032206,18467,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Common assault with injury,,16+,,All adults
7.718311038,1.51194283,6566,Quarter,2017 Q1,K04000001,,,Once a week or more often,,Incidence rate,,Common assault with injury,,16+,,All adults
5.562498868,2.357067985,1882,Quarter,2017 Q1,K04000001,,,Less than once a week,,Incidence rate,,Common assault with injury,,25-34,,All adults
7.299010304,2.643358096,2251,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Common assault with injury,,25-34,,All adults
9.019719197,3.198989504,1173,Quarter,2017 Q1,K04000001,,,Once a week or more often,,Incidence rate,,Common assault with injury,,25-34,,All adults
4.083889086,1.773042051,2057,Quarter,2017 Q1,K04000001,,,Less than once a week,,Incidence rate,,Common assault with injury,,35-44,,All adults
5.628648962,1.875324239,2740,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Common assault with injury,,35-44,,All adults
9.506783862,4.896974524,1016,Quarter,2017 Q1,K04000001,,,Once a week or more often,,Incidence rate,,Common assault with injury,,35-44,,All adults
8.556379698,3.58803881,2099,Quarter,2017 Q1,K04000001,,,Less than once a week,,Incidence rate,,Common assault with injury,,45-54,,All adults
8.214331512,2.905276809,2808,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Common assault with injury,,45-54,,All adults
5.719593504,2.752377279,1285,Quarter,2017 Q1,K04000001,,,Once a week or more often,,Incidence rate,,Common assault with injury,,45-54,,All adults
2.510202201,1.569006819,1624,Quarter,2017 Q1,K04000001,,,Less than once a week,,Incidence rate,,Common assault with injury,,55-64,,All adults
3.836268061,1.417557975,2864,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Common assault with injury,,55-64,,All adults
1.375044323,0.998810561,1176,Quarter,2017 Q1,K04000001,,,Once a week or more often,,Incidence rate,,Common assault with injury,,55-64,,All adults
0.79733008,0.584457746,1341,Quarter,2017 Q1,K04000001,,,Less than once a week,,Incidence rate,,Common assault with injury,,65-74,,All adults
1.529301152,0.699429555,3374,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Common assault with injury,,65-74,,All adults
0.794477849,0.563418297,869,Quarter,2017 Q1,K04000001,,,Once a week or more often,,Incidence rate,,Common assault with injury,,65-74,,All adults
0,0,544,Quarter,2017 Q1,K04000001,,,Less than once a week,,Incidence rate,,Common assault with injury,,75+,,All adults
0,0,3385,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Common assault with injury,,75+,,All adults
0,0,325,Quarter,2017 Q1,K04000001,,,Once a week or more often,,Incidence rate,,Common assault with injury,,75+,,All adults
4.658690051,3.391677743,453,Quarter,2017 Q1,K04000001,,,Less than once a week,,Incidence rate,,Common assault with injury,,16-24,,Female
5.276666227,3.043402386,572,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Common assault with injury,,16-24,,Female
11.96861723,6.229161937,337,Quarter,2017 Q1,K04000001,,,Once a week or more often,,Incidence rate,,Common assault with injury,,16-24,,Female
3.930763164,1.121016589,5579,Quarter,2017 Q1,K04000001,,,Less than once a week,,Incidence rate,,Common assault with injury,,16+,,Female
4.991729483,1.139425545,10735,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Common assault with injury,,16+,,Female
7.213760856,2.233203144,2660,Quarter,2017 Q1,K04000001,,,Once a week or more often,,Incidence rate,,Common assault with injury,,16+,,Female
4.084156948,3.159645988,1065,Quarter,2017 Q1,K04000001,,,Less than once a week,,Incidence rate,,Common assault with injury,,25-34,,Female
8.471808484,3.807797047,1466,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Common assault with injury,,25-34,,Female
10.37693785,6.156315529,513,Quarter,2017 Q1,K04000001,,,Once a week or more often,,Incidence rate,,Common assault with injury,,25-34,,Female
5.607660054,3.147158084,1125,Quarter,2017 Q1,K04000001,,,Less than once a week,,Incidence rate,,Common assault with injury,,35-44,,Female
7.208563487,3.12976396,1587,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Common assault with injury,,35-44,,Female
8.406147739,6.335324933,415,Quarter,2017 Q1,K04000001,,,Once a week or more often,,Incidence rate,,Common assault with injury,,35-44,,Female
3.232018466,1.717286663,1154,Quarter,2017 Q1,K04000001,,,Less than once a week,,Incidence rate,,Common assault with injury,,45-54,,Female
9.721206178,4.98882013,1557,Quarter,2017 Q1,K04000001,,,None,,Incidence rate,,Common assault with injury,,45-54,,Female
