V4_2,Standard Error,Unweighted Count,Time_codelist,Time,Geography_codelist,Geography,Structure of household_codelist,Structure of household,Measurement Type_codelist,Measurement Type,Crime Type_codelist,Crime Type,Age_codelist,Age,Sex_codelist,Sex
37.0331674,12.09377785,658,Quarter,2017 Q1,K04000001,,,Children,,Incidence rate,,Acquaintance violence,,16-24,,All adults
39.02161736,32.22781057,147,Quarter,2017 Q1,K04000001,,,Lone parent,,Incidence rate,,Acquaintance violence,,16-24,,All adults
16.52064799,4.530878432,1783,Quarter,2017 Q1,K04000001,,,No children,,Incidence rate,,Acquaintance violence,,16-24,,All adults
13.53665455,2.538468947,7681,Quarter,2017 Q1,K04000001,,,Children,,Incidence rate,,Acquaintance violence,,16+,,All adults
12.56326939,4.410942554,1781,Quarter,2017 Q1,K04000001,,,Lone parent,,Incidence rate,,Acquaintance violence,,16+,,All adults
8.587717012,1.022186223,25958,Quarter,2017 Q1,K04000001,,,No children,,Incidence rate,,Acquaintance violence,,16+,,All adults
7.629026944,3.017720453,1907,Quarter,2017 Q1,K04000001,,,Children,,Incidence rate,,Acquaintance violence,,25-34,,All adults
14.83328388,5.907535067,680,Quarter,2017 Q1,K04000001,,,Lone parent,,Incidence rate,,Acquaintance violence,,25-34,,All adults
11.98277019,3.798204892,2722,Quarter,2017 Q1,K04000001,,,No children,,Incidence rate,,Acquaintance violence,,25-34,,All adults
5.360486805,2.109822832,3163,Quarter,2017 Q1,K04000001,,,Children,,Incidence rate,,Acquaintance violence,,35-44,,All adults
8.27046282,4.688807812,587,Quarter,2017 Q1,K04000001,,,Lone parent,,Incidence rate,,Acquaintance violence,,35-44,,All adults
16.0614017,4.826105381,2066,Quarter,2017 Q1,K04000001,,,No children,,Incidence rate,,Acquaintance violence,,35-44,,All adults
22.6222196,7.210312541,1635,Quarter,2017 Q1,K04000001,,,Children,,Incidence rate,,Acquaintance violence,,45-54,,All adults
0,0,331,Quarter,2017 Q1,K04000001,,,Lone parent,,Incidence rate,,Acquaintance violence,,45-54,,All adults
9.458031603,2.227416753,4230,Quarter,2017 Q1,K04000001,,,No children,,Incidence rate,,Acquaintance violence,,45-54,,All adults
3.407175446,3.404904853,240,Quarter,2017 Q1,K04000001,,,Children,,Incidence rate,,Acquaintance violence,,55-64,,All adults
0,0,27,Quarter,2017 Q1,K04000001,,,Lone parent,,Incidence rate,,Acquaintance violence,,55-64,,All adults
7.872330675,1.93840119,5397,Quarter,2017 Q1,K04000001,,,No children,,Incidence rate,,Acquaintance violence,,55-64,,All adults
0,0,55,Quarter,2017 Q1,K04000001,,,Children,,Incidence rate,,Acquaintance violence,,65-74,,All adults
-,-,-,Quarter,2017 Q1,K04000001,,,Lone parent,,Incidence rate,,Acquaintance violence,,65-74,,All adults
2.300861392,0.646685179,5530,Quarter,2017 Q1,K04000001,,,No children,,Incidence rate,,Acquaintance violence,,65-74,,All adults
0,0,23,Quarter,2017 Q1,K04000001,,,Children,,Incidence rate,,Acquaintance violence,,75+,,All adults
-,-,-,Quarter,2017 Q1,K04000001,,,Lone parent,,Incidence rate,,Acquaintance violence,,75+,,All adults
0.915993373,0.481885294,4230,Quarter,2017 Q1,K04000001,,,No children,,Incidence rate,,Acquaintance violence,,75+,,All adults
15.81586385,7.425663832,367,Quarter,2017 Q1,K04000001,,,Children,,Incidence rate,,Acquaintance violence,,16-24,,Female
40.38471693,33.34442464,143,Quarter,2017 Q1,K04000001,,,Lone parent,,Incidence rate,,Acquaintance violence,,16-24,,Female
