V4_2,Standard Error,Unweighted Count,Time_codelist,Time,Geography_codelist,Geography,Employment deprivation index_codelist,Employment deprivation index,Measurement Type_codelist,Measurement Type,Crime Type_codelist,Crime Type,Age_codelist,Age,Sex_codelist,Sex
9.117197913,6.961673072000001,399,Quarter,2017 Q1,K04000001,,,20% least deprived,,Incidence rate,,Acquaintance violence,,16-24,,All adults
34.03785944,13.06558722,581,Quarter,2017 Q1,K04000001,,,20% most deprived,,Incidence rate,,Acquaintance violence,,16-24,,All adults
20.06148825,5.970290511,1438,Quarter,2017 Q1,K04000001,,,Deciles 3 - 8,,Incidence rate,,Acquaintance violence,,16-24,,All adults
7.35332114,2.01098918,6427,Quarter,2017 Q1,K04000001,,,20% least deprived,,Incidence rate,,Acquaintance violence,,16+,,All adults
11.33276186,2.460462758,6191,Quarter,2017 Q1,K04000001,,,20% most deprived,,Incidence rate,,Acquaintance violence,,16+,,All adults
9.909950562999999,1.333340518,20124,Quarter,2017 Q1,K04000001,,,Deciles 3 - 8,,Incidence rate,,Acquaintance violence,,16+,,All adults
24.86644931,12.57502442,773,Quarter,2017 Q1,K04000001,,,20% least deprived,,Incidence rate,,Acquaintance violence,,25-34,,All adults
11.89911759,4.710983295,1155,Quarter,2017 Q1,K04000001,,,20% most deprived,,Incidence rate,,Acquaintance violence,,25-34,,All adults
7.048462473,2.267679356,3030,Quarter,2017 Q1,K04000001,,,Deciles 3 - 8,,Incidence rate,,Acquaintance violence,,25-34,,All adults
3.009647879,1.421510822,1110,Quarter,2017 Q1,K04000001,,,20% least deprived,,Incidence rate,,Acquaintance violence,,35-44,,All adults
6.0837875389999985,2.7638358710000004,1003,Quarter,2017 Q1,K04000001,,,20% most deprived,,Incidence rate,,Acquaintance violence,,35-44,,All adults
11.26437381,3.304894827,3336,Quarter,2017 Q1,K04000001,,,Deciles 3 - 8,,Incidence rate,,Acquaintance violence,,35-44,,All adults
6.9887012839999985,2.515866972,1203,Quarter,2017 Q1,K04000001,,,20% least deprived,,Incidence rate,,Acquaintance violence,,45-54,,All adults
7.278714236,3.506085869,1080,Quarter,2017 Q1,K04000001,,,20% most deprived,,Incidence rate,,Acquaintance violence,,45-54,,All adults
16.61844863,4.28894322,3469,Quarter,2017 Q1,K04000001,,,Deciles 3 - 8,,Incidence rate,,Acquaintance violence,,45-54,,All adults
2.367872408,1.428598606,1097,Quarter,2017 Q1,K04000001,,,20% least deprived,,Incidence rate,,Acquaintance violence,,55-64,,All adults
9.726619461,4.841311153,921,Quarter,2017 Q1,K04000001,,,20% most deprived,,Incidence rate,,Acquaintance violence,,55-64,,All adults
7.473036842999999,2.665409033,3163,Quarter,2017 Q1,K04000001,,,Deciles 3 - 8,,Incidence rate,,Acquaintance violence,,55-64,,All adults
3.066035673,1.622687439,1014,Quarter,2017 Q1,K04000001,,,20% least deprived,,Incidence rate,,Acquaintance violence,,65-74,,All adults
1.067870093,1.067988271,823,Quarter,2017 Q1,K04000001,,,20% most deprived,,Incidence rate,,Acquaintance violence,,65-74,,All adults
